,INSRR,IGF2,CCL2,PAIPB,SLC27A6,BCAS1,MOBP,MBP,COL1A1,CDH19,ERNM,OPALIN,FGF1
CONTROL 1,0.5546,0.4688790676,0.9449892795,0.4415648784,0.9029436834,2.908382966,0.6651843667,0.6419249828,0.4894,0.3799235984,1.386636509,0.7607781313,0.540020352
CONTROL 2,0.8709,0.9696765515,0.516036135,0.6983313576,1.06954367,2.710687022,0.5416618874,0.4795758238,1.0143,0.5863856394,1.069336438,0.7343922269,0.7314291841
CONTROL 3,0.4098,0.7155729472,0.6306762004,0.7424892085,0.880463675,4.404305139,1.077149157,1.041059886,0.8546,0.6087285579,3.076746313,1.2206668,0.7261591445
CONTROL 5,0.5617,0.6330476024,0.4403172155,0.9074024039,1.01624947,5.21563326,1.35569605,1.135209552,1.0972,0.9569840285,3.068233763,1.287320841,1.332616443
CONTROL 6,0.2708,0.3856472924,1.517398382,0.8589329866,1.07299314,9.647490881,1.17866578,3.091044495,0.9953,1.19064026,6.238623749,1.117342742,2.706589107
CONTROL 7,0.7752,0.6576998758,0.7525185351,1.004665782,1.002224846,6.065528499,0.8506447714,1.163918757,1.1298,0.7383369646,1.721955314,1.168508745,1.119802133
CONTROL 10,0.9806,0.9046895279,0.9782398947,0.7218622579,1.307552833,5.04441832,1.370491454,1.164382054,1.2048,0.8728876608,2.731556069,1.399813696,0.9257390986
CONTROL 11,1.1151,0.8650471479,0.5459921391,0.7648794519,0.8855331232,3.220528359,0.7496696312,0.9628808868,1.1332,0.6770617796,1.521283714,0.9869758153,0.8551057769
CONTROL 12,0.6655,0.7670659116,0.6712118681,0.7033134633,1.060343793,4.665611773,1.286380752,1.115139231,1.6282,0.7242595671,2.420252434,0.8257133616,0.9918594204
VDS 1,1.4947,1.405969058,0.9472028252,0.9288734107,1.191445499,4.64766819,1.047178047,0.9876005823,1.6644,0.7390959221,1.816953043,0.9471117833,1.06561293
VDS 2,1.3906,1.012438924,1.201418084,0.8816851045,0.7821418732,2.089670658,0.4671743136,0.4956404581,1.0673,0.5639063205,1.073006719,0.7693606962,1.00402856
VDS 3,1.1511,1.308867148,0.9368057925,1.244822506,1.488717046,3.801159604,0.8248144274,0.5787329874,1.4001,0.822097263,1.415889404,0.7122790296,1.254448308
VDS 4,0.7452,0.6736260538,0.843658718,0.7174531628,0.7433758501,4.118443401,0.7280534098,0.830487128,0.8866,0.596827663,1.938398574,1.156512828,0.8651692951
VDS 5,0.8140,0.7281025723,0.7565875912,0.8588900229,1.093966184,3.83801517,0.4287280705,0.7258970646,0.7154,0.5459136346,1.729490733,0.9420350387,0.8903553736
VDS 7,1.4044,1.250570986,0.7411527764,0.8506470998,0.9227731099,2.805832182,0.5199439508,0.5465810633,1.5414,0.64728553,0.8614907673,0.6504141545,0.9611234266
VDS 8,0.6347,0.7772036447,0.576664124,0.9961790292,0.1986297027,5.729511422,1.021327738,1.225769028,0.7149,0.7547502967,1.974754261,1.64136297,1.103531567
VDS 10,0.6981,1.04051582,1.508630174,1.125285792,1.273198764,8.062726179,1.417119565,1.620275258,1.1168,0.619653489,3.013233231,1.586854123,1.669075051
VDS 12,0.6158,0.6906077521,0.9654506206,1.016498675,0.8712462601,5.436843576,0.7384179287,0.7402672344,0.7101,0.6674464297,2.024025189,0.9948346309,1.224849472