#inner,SUBJECT,SPECIES,SEX,DX,CERKL,CHRNA10,FA2H,SMYD1
13,13,RAT,F,CONTROL,1.113445,0.6149,1.007,1.118
14,14,RAT,F,CONTROL,1.012057,1.9553,1.104,1.127
15,15,RAT,F,CONTROL,1.111118,1.1257,1.132,1.098
16,16,RAT,F,CONTROL,1.422484,1.5426,0.729,0.69
17,17,RAT,F,NICOTINE,0.999965,1.7383,0.938,1.063
18,18,RAT,F,NICOTINE,1.08859,2.1864,0.98,1.076
19,19,RAT,M,CONTROL,0.841782,0.6327,1.196,0.717
20,20,RAT,M,CONTROL,0.645015,0.7057,0.822,0.617
21,21,RAT,M,CONTROL,1.367268,0.8511,0.886,0.608
22,22,RAT,M,CONTROL,1.156642,0.534,0.908,0.904
23,23,RAT,M,NICOTINE,0.562513,0.0012,1.312,0.001
24,24,RAT,M,NICOTINE,0.816326,0.001,1.633,0.001