,,Control,Control,Control,Control,Control,Control,1,2,3,4,5,6,7,8,9,10,11,12,,Control,Control,Control,Control,Control,Control,1,2,3,4,5,6,7,8,9,10,11,12
1,hCOL1A1,0.928572124,0.676762331,0.004430662,0.258225608,0.149775295,0.077232364,0.930783506,0.006413677,0.329113998,0.135336595,0.716269944,0.061052743,0.054582769,1.265912677,0.006390129,0.013362019,0.10179794,0.186524731,hCOL1A1,1,1,1,1,1,1,1.002381486,0.009477001,74.28100446,0.524102144,4.782297,0.790507241,0.058781399,1.870542462,1.442251668,0.051745521,0.6796711,2.415110992
1,hBMP5,47.60090574,9.242078619,511.1735767,242.09799,98.9036722,561.9723422,103.4515346,3905.071993,4.154693396,3.627937621,3.855695879,160.285129,37.10361194,0.766710419,2282.893568,134.8950679,1.549712017,651.577851,hBMP5,1,1,1,1,1,1,2.173310214,422.5317869,0.008127755,0.01498541,0.038984355,0.285218892,0.779472814,0.082958656,4.465985083,0.557192019,0.015668903,1.159448254
2,hCOL4A1,2.279875161,0.908388169,1.688157312,0.893885831,0.837610431,0.341809621,0.504625589,5.085952487,0.390732251,0.508718505,0.553321311,0.909733709,0.681628369,3.03302833,1.198745978,0.80865587,0.318065688,1.195337396,hCOL4A1,1,1,1,1,1,1,0.221339132,5.598875749,0.231454882,0.569109038,0.660595057,2.661521662,0.298976181,3.338912191,0.710091393,0.904652297,0.379729856,3.49708529
2,hPTGDR,7.721617978,2.192568549,0.632974912,2.257783683,1.285348986,0.22661583,0.2633134,1.796542303,0.113243361,0.770702007,0.696617019,1.346923944,0.295132593,2.045281535,0.839692902,0.250496874,0.080546549,0.779349302,hPTGDR,1,1,1,1,1,1,0.034100806,0.819377941,0.178906555,0.341353343,0.541967222,5.943644567,0.0382216,0.932824443,1.32658165,0.110948128,0.062665121,3.439077064
3,hSLC13A4,0.351393,0.378893,0.123915,0.417919,0.284397,0.375217,0.22431,0.686499,0.356081,0.227559,0.136164,0.462891,0.160871,0.360273,0.282146,0.146712,0.12467,0.173571,hSLCO13A4,1,1,1,1,1,1,0.638345101,1.811854534,2.873590768,0.544505036,0.478781422,1.233662121,0.457809347,0.950856838,2.276931768,0.351053673,0.438366087,0.462588316
3,hSDCCAG8,6.569891,4.245975,3.408731,2.409688,4.426543,1.05724,2.091707,3.575756,1.751399,3.009434,2.863974,3.380469,2.976652,2.915994,3.404998,,1.833059,1.284848,hSDCCAG8,1,1,1,1,1,1,0.318377733,0.84215192,0.51379795,1.248889483,0.647000153,3.197447126,0.453074792,0.686766644,0.998904871,0,0.414106222,1.215285082
4,hSLCO1A2,0.662427,1.266266,0.32749,2.409682,0.918798,0.411044,2.583827,1.553011,0.74057,3.913235,1.471564,3.095398,1.653739,1.16359,0.317583,0.500892,0.604995,0.168373,hSLCO1A2,1,1,1,1,1,1,3.900546022,1.226449261,2.261351492,1.623963245,1.601618637,7.530575802,2.496484896,0.918914351,0.969748695,0.207866432,0.658463558,0.409622814
4,hFAM107B,1.213542,0.929367,0.444288,4.042014,0.0000852,0.335134,2.323249,1.437785,0.427427,3.096959,1.75039,4.039565,1.965135,0.735027,0.57076,0.340225,0.610341,0.177491,hFAM107B,1,1,1,1,1,1,1.914436418,1.547058374,0.962049391,0.766192052,20544.48357,12.05358155,1.619338268,0.790889928,1.284662201,0.084172148,7163.626761,0.529612036
5,hCTNNA3,2.66981023,1.355270157,3.73968838,2.584683696,4.870347863,1.399196156,8.216482474,11.40486677,2.838032119,6.663813367,1.072059867,6.345909538,1.346274992,0.935840633,5.409009859,1.492973279,0.805451017,0.965592287,hCTNNA3,1,1,1,1,1,1,3.077552997,8.41519804,0.758895349,2.578192983,0.220119773,4.535396634,0.504258684,0.690519619,1.446379834,0.577623204,0.16537854,0.690105017
5,hBCAS1,0.882147004,1.271604582,0.296941101,1.588032646,0.052266363,0.461464167,1.894666981,1.707201029,0.552931815,3.118395836,1.191522362,3.368786663,1.097496596,0.629016118,0.281505052,0.303508869,0.785091425,0.551546084,hBCAS1,1,1,1,1,1,1,2.14779053,1.342556525,1.862092562,1.963684968,22.7971165,7.300212897,1.244119847,0.494663299,0.948016465,0.191122563,15.02096918,1.19520891
6,hASB16,1.407045742,1.419127323,0.506348593,1.718431009,0.60386806,0.340688907,0.766741986,1.041801136,0.770605883,1.325670292,1.041507214,1.86333763,1.072804857,1.791202708,0.726721379,0.372040143,0.614375002,0.59794935,hASB16,1,1,1,1,1,1,0.54493039,0.73411393,1.521888069,0.771442254,1.724726448,5.469322866,0.762452012,1.262186049,1.435219507,0.216499901,1.0173994,1.755118341
6,hFAM189A1,1.118767855,1.608826453,0.769358532,0.716555975,1.340757886,0.54561896,0.742539873,0.988182455,0.875310808,1.033082552,1.436306841,1.428310336,0.905735252,1.407921468,0.789639357,1.49983713,0.547716671,0.784429483,hFAM189A1,1,1,1,1,1,1,0.663712199,0.614225638,1.137715085,1.44173322,1.071264884,2.61777988,0.809582835,0.875123271,1.026360693,2.093119286,0.408512735,1.437687361
7,hCHRNA10,2.49538925,1.51401538,0.460137457,1.489989368,1.448064684,0.31157894,0.702779738,0.738639924,1.07979828,1.069044048,0.937378747,1.293437252,0.963145651,1.585734071,0.642009068,0.44376075,0.679846583,1.031199475,hCHRNA10,1,1,1,1,1,1,0.281631308,0.487868177,2.346686327,0.717484346,0.647332096,4.151234522,0.385970105,1.047369857,1.395254957,0.297828132,0.469486336,3.309592988
7,hCERKL,3.105090083,1.890661237,0.847447205,1.589102591,1.525922892,0.773927991,0.50025319,2.850075712,0.339877848,0.427628404,1.105477362,0.911373997,0.380188751,1.099541257,1.233116241,0.418144204,0.53535159,1.14829753,hCERKL,1,1,1,1,1,1,0.161107464,1.50744917,0.401060794,0.269100564,0.72446476,1.177595341,0.12244049,0.581564394,1.455095059,0.26313229,0.350837905,1.483726578
8,hSMYD1,0.381346759,1.413741272,1.79127625,1.868302946,1.572602707,2.537049829,0.830452823,3.70468754,4.658890215,2.904931546,3.233967212,5.680438191,8.244736319,1.620660753,0.453577185,6.935460277,1.153660168,0.669110935,hSMYD1,1,1,1,1,1,1,2.177684232,2.620484819,2.600877567,1.55485038,2.056442608,2.238993545,21.62005086,1.146363048,0.253214536,3.71217114,0.733599251,0.263735827
8,hFA2H,0.238900441,0.211644656,0.154802438,0.962146183,0.309578718,0.200507014,0.313532627,0.369778022,0.185109574,0.875753063,0.557730325,1.020565307,0.865251589,0.479963682,0.259754387,0.15147878,0.165974404,0.135293209,hFA2H,1,1,1,1,1,1,1.312398693,1.747164468,1.195779451,0.910207907,1.801578381,5.089923225,3.621808248,2.26778078,1.677973488,0.157438425,0.536129892,0.674755492
9,hCLIC4,0.881101846,0.600714621,0.4568672,2.535913742,0.801815821,0.461139567,1.615608492,1.957441892,0.549574871,1.530582308,0.61714711,1.812359932,1.424676118,1.011617372,0.742009971,0.2548617,0.527069993,0.426796454,hCLIC4,1,1,1,1,1,1,1.833622866,3.25852214,1.202920392,0.603562449,0.76968687,3.930176595,1.616925586,1.684023223,1.624126161,0.100500934,0.657345464,0.925525556
9,hTF,4.593191541,1.208947705,0.381861647,1.048225501,0.875949546,0.154970188,0.571850525,0.971679655,0.216921557,2.532961566,3.212861643,2.268672097,0.464864084,0.974010696,0.663107374,0.061835295,0.670497184,0.379216421,hTF,1,1,1,1,1,1,0.124499603,0.803740022,0.56806322,2.41642811,3.66786153,14.63940986,0.101207206,0.805668178,1.736512108,0.058990451,0.765451831,2.447028207
10,hLRP2,0.154482346,0.067517149,0.040310341,0.495087171,0.148796582,0.027190557,0.059642731,0.16080576,0.021693614,0.49501199,0.156592899,0.383054386,0.538419532,0.113252697,0.075182234,0.055575862,0.017874028,0.030465573,hLRP2,1,1,1,1,1,1,0.386081211,2.381702455,0.538164986,0.999848146,1.052395806,14.08777252,3.485314313,1.677391579,1.865085543,0.112254701,0.120123917,1.120446789
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
