Program,xPONENT,,Unknown,,,
Build,4.2.1509.0,,,,,
Date,10/17/2022,3:04 PM,,,,
,,,,,,
SN,LX10018170422,,,,,
Batch,ProcartaPlex Human Brain Injurt Panel 4,,,,,
Version,1,,,,,
Operator,,,,,,
ComputerName,ELPPSY-T099504,,,,,
Country Code,409,,,,,
ProtocolName,None,,,,,
ProtocolVersion,1,,,,,
ProtocolDescription,,,,,,
ProtocolDevelopingCompany,,,,,,
SampleVolume,50 uL,,,,,
DDGate,7500 to 25000,,,,,
SampleTimeout,60 sec,,,,,
BatchStartTime,10/17/2022 19:58,,,,,
BatchStopTime,10/17/2022 20:28,,,,,
BatchDescription,<None>,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1
ProtocolMicrosphere,Map,100 regions,Type,MagPlex,Count,4
ProtocolReporterGain,Default,,,,,
ProtocolAnalysis,Type,Quan,Mode,FitOfAllStandards,,
NormBead,None,,,,,
ProtocolHeater,Off,,,,,
,,,,,,
Most Recent Calibration and Verification Results:,,,,,,
Unknown,Passed 10/17/2022 14:47:10,,,,,
Unknown,Passed 10/17/2022 14:48:13,,,,,
Unknown,Passed 10/17/2022 14:50:10,,,,,
Unknown,Passed 10/17/2022 14:51:05,,,,,
Last Fluidics Test,Passed 10/17/2022 14:51:36,,,,,
,,,,,,
CALInfo:,,,,,,
,,,,,,
,,,,,,
AssayLotInfo:,,,,,,
KitName,LotNumber,ExpirationDate,Manufacturer,,,
Human Brain Injury Panel 4,EPX040-901,4/30/2023,Invitrogen,,,
Reagent,LotName,LotNumber,ExpirationDate,Manufacturer,,
Standard1,Human Brain Injury Panel 4,EPX040-901,4/30/2023,Invitrogen ,,
Standard2,Human Brain Injury Panel 4,EPX040-901,4/30/2023,Invitrogen,,
Standard3,Human Brain Injury Panel 4,EPX040-901,4/30/2023,Invitrogen,,
Standard4,Human Brain Injury Panel 4,EPX040-901,4/30/2023,Invitrogen,,
Standard5,Human Brain Injury Panel 4,EPX040-901,4/30/2023,Invitrogen,,
Standard6,Human Brain Injury Panel 4,EPX040-901,4/30/2023,Invitrogen,,
Standard7,Human Brain Injury Panel 4,EPX040-901,4/30/2023,Invitrogen,,
,,,,,,
,,,,,,
Samples,78,Min Events,100,Per Bead,,
,,,,,,
Results,,,,,,
,,,,,,
DataType:,Median,,,,,
Location,Sample,S100B,UCHL1,GFAP,NF-H,Total Events
"1(1,A1)",Standard1,194,22511.5,16444,14407.5,324
"2(1,B1)",Standard2,96,22012,6675,12991.5,266
"3(1,C1)",Standard3,48,16282,2216,8195,280
"4(1,D1)",Standard4,49,10220,691,4753,258
"5(1,E1)",Standard5,63.5,4601,1969,1788,236
"6(1,F1)",Standard6,49,1278.5,240.5,335,301
"7(1,G1)",Standard7,54,354,161,103,229
"8(1,H1)",Background0,55.5,40.5,67,36.5,254
"9(1,A2)",Standard1,290.5,22845.5,17628,14599,270
"10(1,B2)",Standard2,161,20317.5,7393,11461.5,285
"11(1,C2)",Standard3,62,16849,2384,8427,300
"12(1,D2)",Standard4,48,10123,1244,5049,233
"13(1,E2)",Standard5,84.5,4146.5,4791,1988.5,252
"14(1,F2)",Standard6,43.5,1209,447,299,295
"15(1,G2)",Standard7,50,341.5,1348,108,244
"16(1,H2)",Background0,51.5,60,131,33,283
"17(1,A3)",312,1277,463.5,10077,7685,253
"18(1,B3)",309,1854,1664,8200,8246,601
"19(1,C3)",308,473,570.5,14546,8509,248
"20(1,D3)",301,912.5,652,12175,7020,220
"21(1,E3)",298,304.5,118.5,13153,7515,432
"22(1,F3)",287,1753,2491,9473.5,7069,243
"23(1,G3)",286,533,238,13041,7702.5,255
"24(1,H3)",284,1737,2411,10640.5,8777,232
"25(1,A4)",282,1434,2351.5,9000,7166.5,283
"26(1,B4)",281,374,306,11411.5,7037,237
"27(1,C4)",280,1132.5,1228.5,8371,6938.5,250
"28(1,D4)",264,214,126.5,11296,4547,285
"29(1,E4)",261,418.5,1449.5,11954,4356.5,212
"30(1,F4)",247,526,1318.5,14565.5,8930,240
"31(1,G4)",210,508,2296,14177.5,8364,227
"32(1,H4)",207,1495,3482.5,11614.5,8231,311
"33(1,A5)",194,514,1092.5,14246,7237.5,247
"34(1,B5)",193,3002.5,4976,10912.5,8653.5,264
"35(1,C5)",192,1055.5,1729.5,12262,8125,239
"36(1,D5)",167,1325.5,1296,10091,7788,308
"37(1,E5)",162,766,1892,12840,7765.5,300
"38(1,F5)",153,1017.5,856,11311,7973,302
"39(1,G5)",148,1697,1687,8248,5912.5,1239
"40(1,H5)",83,1154.5,982,10781,7075,216
"41(1,A6)",82,579.5,113,12175,7341.5,331
"42(1,B6)",36,693,741.5,14768,7516,220
"43(1,C6)",33,571,1094,13866,8413,261
"44(1,D6)",29,263,1216,16965,7759,279
"45(1,E6)",15,534,604,14215,7014.5,232
"46(1,F6)",16,478.5,161,15548,8182,303
"47(1,G6)",229,819,118,14312,8602,270
"48(1,H6)",28,444,3964.5,14099,7259,258
"49(1,A7)",79,664,761.5,12930,6945,272
"50(1,B7)",47,945,5423.5,12498.5,8657.5,223
"51(1,C7)",40,498.5,519,14446,6038.5,291
"52(1,D7)",275,992.5,1335.5,10289,6574,320
"53(1,E7)",232,582.5,949,13683,7307,303
"54(1,F7)",228,844,1738.5,12613.5,7485,237
"55(1,G7)",197,1824.5,2307.5,10318,8093,281
"56(1,H7)",181,191.5,1862,12650,6163,278
"57(1,A8)",156,933,4143,12382.5,7427.5,225
"58(1,B8)",147,345.5,2339.5,13751.5,8130,231
"59(1,C8)",141,297,1734.5,12465,7855,226
"60(1,D8)",134,476.5,60,12822,6878,228
"61(1,E8)",132,1239,1452.5,10490,7545.5,254
"62(1,F8)",131,241,79,13275,6686,237
"63(1,G8)",113,1072.5,655.5,14041,8803,265
"64(1,H8)",99,502,785,12928,6520,274
"65(1,A9)",95,541.5,323,14230,7728,259
"66(1,B9)",94,291.5,420,13092,7917,229
"67(1,C9)",87,770.5,732.5,13936,7806,264
"68(1,D9)",69,833.5,1049,16740,9993.5,241
"69(1,E9)",68,622,8470,15620,8308,272
"70(1,F9)",205,514,1412.5,14068,7355,246
"71(1,G9)",24,565,8174,11056.5,6899,697
"72(1,H9)",63,967,8361.5,11031,5708,285
"73(1,A10)",306,829,576.5,12171,7062,220
"74(1,B10)",290,373,527,12312,5912,232
"75(1,C10)",17,645.5,10909,13186.5,8053,219
"76(1,D10)",198,1060,78,13410,8851.5,381
"77(1,E10)",30,845.5,3025.5,12568,6519,240
"78(1,F10)",41,744,260,11448,6865,269
"79(1,G10)",55,418,3752,14593.5,7624,212
"80(1,H10)",208,364.5,336,12382,6732.5,325
"81(1,A11)",93,348,181.5,13984,7311,243
"82(1,B11)",216,503.5,597,14644,7406,220
"83(1,C11)",219,388,154,14784.5,6446.5,211
"84(1,D11)",170,692,195.5,10091,4978,349
"85(1,E11)",180,261,154.5,15728,6381,244
"86(1,F11)",296,484.5,4422,15904,5135.5,265
,,,,,,
DataType:,Net MFI,,,,,
Location,Sample,S100B,UCHL1,GFAP,NF-H,Total Events
"1(1,A1)",Standard1,140.5,22461.25,16345,14372.75,324
"2(1,B1)",Standard2,42.5,21961.75,6576,12956.75,266
"3(1,C1)",Standard3,-5.5,16231.75,2117,8160.25,280
"4(1,D1)",Standard4,-4.5,10169.75,592,4718.25,258
"5(1,E1)",Standard5,10,4550.75,1870,1753.25,236
"6(1,F1)",Standard6,-4.5,1228.25,141.5,300.25,301
"7(1,G1)",Standard7,0.5,303.75,62,68.25,229
"8(1,H1)",Background0,2,-9.75,-32,1.75,254
"9(1,A2)",Standard1,237,22795.25,17529,14564.25,270
"10(1,B2)",Standard2,107.5,20267.25,7294,11426.75,285
"11(1,C2)",Standard3,8.5,16798.75,2285,8392.25,300
"12(1,D2)",Standard4,-5.5,10072.75,1145,5014.25,233
"13(1,E2)",Standard5,31,4096.25,4692,1953.75,252
"14(1,F2)",Standard6,-10,1158.75,348,264.25,295
"15(1,G2)",Standard7,-3.5,291.25,1249,73.25,244
"16(1,H2)",Background0,-2,9.75,32,-1.75,283
"17(1,A3)",312,1223.5,413.25,9978,7650.25,253
"18(1,B3)",309,1800.5,1613.75,8101,8211.25,601
"19(1,C3)",308,419.5,520.25,14447,8474.25,248
"20(1,D3)",301,859,601.75,12076,6985.25,220
"21(1,E3)",298,251,68.25,13054,7480.25,432
"22(1,F3)",287,1699.5,2440.75,9374.5,7034.25,243
"23(1,G3)",286,479.5,187.75,12942,7667.75,255
"24(1,H3)",284,1683.5,2360.75,10541.5,8742.25,232
"25(1,A4)",282,1380.5,2301.25,8901,7131.75,283
"26(1,B4)",281,320.5,255.75,11312.5,7002.25,237
"27(1,C4)",280,1079,1178.25,8272,6903.75,250
"28(1,D4)",264,160.5,76.25,11197,4512.25,285
"29(1,E4)",261,365,1399.25,11855,4321.75,212
"30(1,F4)",247,472.5,1268.25,14466.5,8895.25,240
"31(1,G4)",210,454.5,2245.75,14078.5,8329.25,227
"32(1,H4)",207,1441.5,3432.25,11515.5,8196.25,311
"33(1,A5)",194,460.5,1042.25,14147,7202.75,247
"34(1,B5)",193,2949,4925.75,10813.5,8618.75,264
"35(1,C5)",192,1002,1679.25,12163,8090.25,239
"36(1,D5)",167,1272,1245.75,9992,7753.25,308
"37(1,E5)",162,712.5,1841.75,12741,7730.75,300
"38(1,F5)",153,964,805.75,11212,7938.25,302
"39(1,G5)",148,1643.5,1636.75,8149,5877.75,1239
"40(1,H5)",83,1101,931.75,10682,7040.25,216
"41(1,A6)",82,526,62.75,12076,7306.75,331
"42(1,B6)",36,639.5,691.25,14669,7481.25,220
"43(1,C6)",33,517.5,1043.75,13767,8378.25,261
"44(1,D6)",29,209.5,1165.75,16866,7724.25,279
"45(1,E6)",15,480.5,553.75,14116,6979.75,232
"46(1,F6)",16,425,110.75,15449,8147.25,303
"47(1,G6)",229,765.5,67.75,14213,8567.25,270
"48(1,H6)",28,390.5,3914.25,14000,7224.25,258
"49(1,A7)",79,610.5,711.25,12831,6910.25,272
"50(1,B7)",47,891.5,5373.25,12399.5,8622.75,223
"51(1,C7)",40,445,468.75,14347,6003.75,291
"52(1,D7)",275,939,1285.25,10190,6539.25,320
"53(1,E7)",232,529,898.75,13584,7272.25,303
"54(1,F7)",228,790.5,1688.25,12514.5,7450.25,237
"55(1,G7)",197,1771,2257.25,10219,8058.25,281
"56(1,H7)",181,138,1811.75,12551,6128.25,278
"57(1,A8)",156,879.5,4092.75,12283.5,7392.75,225
"58(1,B8)",147,292,2289.25,13652.5,8095.25,231
"59(1,C8)",141,243.5,1684.25,12366,7820.25,226
"60(1,D8)",134,423,9.75,12723,6843.25,228
"61(1,E8)",132,1185.5,1402.25,10391,7510.75,254
"62(1,F8)",131,187.5,28.75,13176,6651.25,237
"63(1,G8)",113,1019,605.25,13942,8768.25,265
"64(1,H8)",99,448.5,734.75,12829,6485.25,274
"65(1,A9)",95,488,272.75,14131,7693.25,259
"66(1,B9)",94,238,369.75,12993,7882.25,229
"67(1,C9)",87,717,682.25,13837,7771.25,264
"68(1,D9)",69,780,998.75,16641,9958.75,241
"69(1,E9)",68,568.5,8419.75,15521,8273.25,272
"70(1,F9)",205,460.5,1362.25,13969,7320.25,246
"71(1,G9)",24,511.5,8123.75,10957.5,6864.25,697
"72(1,H9)",63,913.5,8311.25,10932,5673.25,285
"73(1,A10)",306,775.5,526.25,12072,7027.25,220
"74(1,B10)",290,319.5,476.75,12213,5877.25,232
"75(1,C10)",17,592,10858.75,13087.5,8018.25,219
"76(1,D10)",198,1006.5,27.75,13311,8816.75,381
"77(1,E10)",30,792,2975.25,12469,6484.25,240
"78(1,F10)",41,690.5,209.75,11349,6830.25,269
"79(1,G10)",55,364.5,3701.75,14494.5,7589.25,212
"80(1,H10)",208,311,285.75,12283,6697.75,325
"81(1,A11)",93,294.5,131.25,13885,7276.25,243
"82(1,B11)",216,450,546.75,14545,7371.25,220
"83(1,C11)",219,334.5,103.75,14685.5,6411.75,211
"84(1,D11)",170,638.5,145.25,9992,4943.25,349
"85(1,E11)",180,207.5,104.25,15629,6346.25,244
"86(1,F11)",296,431,4371.75,15805,5100.75,265
,,,,,,
DataType:,Count,,,,,
Location,Sample,S100B,UCHL1,GFAP,NF-H,Total Events
"1(1,A1)",Standard1,86,50,98,90,324
"2(1,B1)",Standard2,73,50,79,64,266
"3(1,C1)",Standard3,83,50,79,68,280
"4(1,D1)",Standard4,78,50,65,65,258
"5(1,E1)",Standard5,62,55,69,50,236
"6(1,F1)",Standard6,94,50,80,77,301
"7(1,G1)",Standard7,63,50,65,51,229
"8(1,H1)",Background0,78,50,72,54,254
"9(1,A2)",Standard1,70,50,75,75,270
"10(1,B2)",Standard2,80,50,87,68,285
"11(1,C2)",Standard3,75,50,88,87,300
"12(1,D2)",Standard4,67,61,55,50,233
"13(1,E2)",Standard5,66,50,72,64,252
"14(1,F2)",Standard6,82,50,92,71,295
"15(1,G2)",Standard7,59,50,83,52,244
"16(1,H2)",Background0,82,50,81,70,283
"17(1,A3)",312,74,50,68,61,253
"18(1,B3)",309,195,131,225,50,601
"19(1,C3)",308,56,50,69,73,248
"20(1,D3)",301,54,57,59,50,220
"21(1,E3)",298,140,108,134,50,432
"22(1,F3)",287,68,50,70,55,243
"23(1,G3)",286,79,57,69,50,255
"24(1,H3)",284,63,50,56,63,232
"25(1,A4)",282,69,50,90,74,283
"26(1,B4)",281,61,67,50,59,237
"27(1,C4)",280,76,50,68,56,250
"28(1,D4)",264,80,52,103,50,285
"29(1,E4)",261,56,50,54,52,212
"30(1,F4)",247,70,50,62,58,240
"31(1,G4)",210,61,55,50,61,227
"32(1,H4)",207,93,50,80,88,311
"33(1,A5)",194,69,50,68,60,247
"34(1,B5)",193,86,50,74,54,264
"35(1,C5)",192,70,50,67,52,239
"36(1,D5)",167,78,81,99,50,308
"37(1,E5)",162,96,67,87,50,300
"38(1,F5)",153,82,50,92,78,302
"39(1,G5)",148,479,291,441,28,1239
"40(1,H5)",83,56,57,53,50,216
"41(1,A6)",82,114,81,86,50,331
"42(1,B6)",36,57,50,60,53,220
"43(1,C6)",33,71,50,82,58,261
"44(1,D6)",29,69,50,91,69,279
"45(1,E6)",15,54,51,77,50,232
"46(1,F6)",16,90,50,84,79,303
"47(1,G6)",229,78,71,71,50,270
"48(1,H6)",28,85,58,65,50,258
"49(1,A7)",79,80,50,88,54,272
"50(1,B7)",47,63,50,50,60,223
"51(1,C7)",40,92,63,86,50,291
"52(1,D7)",275,100,72,98,50,320
"53(1,E7)",232,82,61,110,50,303
"54(1,F7)",228,71,50,58,58,237
"55(1,G7)",197,88,50,84,59,281
"56(1,H7)",181,94,58,76,50,278
"57(1,A8)",156,69,50,50,56,225
"58(1,B8)",147,50,62,64,55,231
"59(1,C8)",141,70,56,50,50,226
"60(1,D8)",134,62,59,57,50,228
"61(1,E8)",132,85,54,65,50,254
"62(1,F8)",131,56,50,73,58,237
"63(1,G8)",113,76,62,77,50,265
"64(1,H8)",99,72,50,72,80,274
"65(1,A9)",95,78,50,81,50,259
"66(1,B9)",94,62,50,61,56,229
"67(1,C9)",87,74,50,77,63,264
"68(1,D9)",69,68,50,65,58,241
"69(1,E9)",68,89,50,64,69,272
"70(1,F9)",205,83,50,57,56,246
"71(1,G9)",24,265,154,228,50,697
"72(1,H9)",63,85,50,67,83,285
"73(1,A10)",306,55,50,58,57,220
"74(1,B10)",290,72,51,50,59,232
"75(1,C10)",17,60,50,58,51,219
"76(1,D10)",198,115,98,118,50,381
"77(1,E10)",30,68,50,55,67,240
"78(1,F10)",41,81,50,75,63,269
"79(1,G10)",55,51,57,54,50,212
"80(1,H10)",208,100,69,106,50,325
"81(1,A11)",93,72,50,50,71,243
"82(1,B11)",216,54,50,59,57,220
"83(1,C11)",219,53,54,54,50,211
"84(1,D11)",170,100,90,109,50,349
"85(1,E11)",180,63,50,63,68,244
"86(1,F11)",296,84,58,73,50,265
,,,,,,
DataType:,Result,,,,,
Location,Sample,S100B,UCHL1,GFAP,NF-H,Total Events
"1(1,A1)",Standard1,2851.838079,2266709,38524.1939,204471.5268,324
"2(1,B1)",Standard2,2335.269173,1578906.681,10916.69184,68004.59763,266
"3(1,C1)",Standard3,< 2.3193359375,187431.2624,2251.213103,7302.494235,280
"4(1,D1)",Standard4,< 2.3193359375,49870.65469,367.0412908,2108.121673,258
"5(1,E1)",Standard5,2114.934864,13650.12292,1891.641383,584.3352493,236
"6(1,F1)",Standard6,< 2.3193359375,3233.939868,38.82142675,148.5909785,301
"7(1,G1)",Standard7,1759.456288,805.6234799,6.640808585,31.4430947,229
"8(1,H1)",Background0,NaN,NaN,NaN,NaN,254
"9(1,A2)",Standard1,> 9500,3035605.127,42436.92916,247336.0716,270
"10(1,B2)",Standard2,2621.654625,660915.5723,12603.956,28828.47479,285
"11(1,C2)",Standard3,2094.96762,216638.4422,2505.343503,7965.063744,300
"12(1,D2)",Standard4,< 2.3193359375,48881.73425,946.6978193,2349.527025,233
"13(1,E2)",Standard5,2277.116604,11934.67776,6831.770994,652.5999555,252
"14(1,F2)",Standard6,< 2.3193359375,3054.471078,166.7923102,136.5359289,295
"15(1,G2)",Standard7,< 2.3193359375,768.7997888,1070.884318,40.86852285,244
"16(1,H2)",Background0,NaN,NaN,NaN,NaN,283
"17(1,A3)",312,> 9500,1115.553153,19456.91093,6051.723197,253
"18(1,B3)",309,> 9500,4244.363727,14577.50843,7442.638889,601
"19(1,C3)",308,> 9500,1404.620029,32476.6218,8215.329908,248
"20(1,D3)",301,> 9500,1619.63499,25341.20255,4758.884883,220
"21(1,E3)",298,> 9500,< 786.279296875,28225.22231,5688.743923,432
"22(1,F3)",287,> 9500,6542.665059,17846.12193,4843.280093,243
"23(1,G3)",286,> 9500,442.7221704,27890.62891,6090.497787,255
"24(1,H3)",284,> 9500,6310.791709,20994.95478,9098.210333,232
"25(1,A4)",282,> 9500,6139.783437,16609.63467,5015.941368,283
"26(1,B4)",281,> 9500,661.8647579,23150.54955,4787.988191,237
"27(1,C4)",280,> 9500,3104.764578,15005.69997,4621.915924,250
"28(1,D4)",264,3269.491072,< 786.279296875,22823.95062,1953.169287,285
"29(1,E4)",261,> 9500,3678.599035,24701.50578,1818.599084,212
"30(1,F4)",247,> 9500,3337.529098,32537.28947,9651.079362,240
"31(1,G4)",210,> 9500,5981.360149,31336.05904,7778.6597,227
"32(1,H4)",207,> 9500,9623.650607,23727.65731,7401.108573,311
"33(1,A5)",194,> 9500,2754.794344,31547.22478,5145.772667,247
"34(1,B5)",193,> 9500,15156.08977,21748.78049,8678.500483,264
"35(1,C5)",192,> 9500,4419.221406,25594.26158,7114.934122,239
"36(1,D5)",167,> 9500,3279.231397,19494.73035,6283.891862,308
"37(1,E5)",162,> 9500,4857.789012,27292.92317,6232.354083,300
"38(1,F5)",153,> 9500,2147.953658,22866.29372,6725.901706,302
"39(1,G5)",148,> 9500,4305.644569,14697.35721,3205.502835,1239
"40(1,H5)",83,> 9500,2471.321732,21383.42375,4853.721992,216
"41(1,A6)",82,> 9500,< 786.279296875,25341.20255,5342.452398,331
"42(1,B6)",36,> 9500,1852.639058,33169.13956,5690.808672,220
"43(1,C6)",33,> 9500,2758.645903,30380.75139,7923.206951,261
"44(1,D6)",29,> 9500,3072.52002,40233.06588,6217.551904,279
"45(1,E6)",15,> 9500,1493.413798,31451.61229,4749.508961,232
"46(1,F6)",16,> 9500,136.2903646,35633.85641,7267.246713,303
"47(1,G6)",229,> 9500,< 786.279296875,31751.05304,8510.082222,270
"48(1,H6)",28,> 9500,11279.20642,31094.54776,5185.78937,258
"49(1,A7)",79,> 9500,1904.397105,27560.11119,4632.686786,272
"50(1,B7)",47,> 9500,17070.13646,26285.66192,8691.740653,223
"51(1,C7)",40,> 9500,1266.69154,32165.99679,3352.840512,291
"52(1,D7)",275,> 9500,3381.627387,20031.76381,4057.644539,320
"53(1,E7)",232,> 9500,2386.695393,29823.34883,5276.331863,303
"54(1,F7)",228,> 9500,4443.330745,26623.6896,5627.176699,237
"55(1,G7)",197,> 9500,6014.101338,20110.75714,7030.992618,281
"56(1,H7)",181,2826.949621,4776.28927,26731.22521,3504.94294,278
"57(1,A8)",156,> 9500,11921.90823,25945.90471,5511.174518,225
"58(1,B8)",147,> 9500,6105.441462,30031.6607,7128.150892,231
"59(1,C8)",141,> 9500,4432.612961,26187.41728,6440.155854,226
"60(1,D8)",134,> 9500,< 786.279296875,27239.57177,4522.909487,228
"61(1,E8)",132,> 9500,3686.445785,20581.02432,5752.085322,254
"62(1,F8)",131,> 9500,< 786.279296875,28590.93835,4223.037395,237
"63(1,G8)",113,> 9500,1628.798838,30916.43771,9189.523297,265
"64(1,H8)",99,> 9500,1965.103044,27554.16589,3980.281214,274
"65(1,A9)",95,> 9500,713.5466447,31497.86641,6147.485213,259
"66(1,B9)",94,> 9500,994.6895187,28042.85198,6588.581981,229
"67(1,C9)",87,> 9500,1829.316681,30594.71607,6325.459251,264
"68(1,D9)",69,> 9500,2643.152324,39492.56202,14807.23059,241
"69(1,E9)",68,> 9500,34578.78792,35863.8084,7617.103757,272
"70(1,F9)",205,> 9500,3581.961372,30999.31591,5368.566731,246
"71(1,G9)",24,> 9500,32448.81732,22150.81657,4557.022263,697
"72(1,H9)",63,> 9500,33784.86714,22079.47489,2979.632105,285
"73(1,A10)",306,> 9500,1420.571706,25329.58434,4831.127793,220
"74(1,B10)",290,> 9500,1288.246921,25740.01099,3204.930924,232
"75(1,C10)",17,> 9500,57479.06089,28325.51501,6927.616324,219
"76(1,D10)",198,> 9500,< 786.279296875,28997.13232,9362.702704,381
"77(1,E10)",30,> 9500,8153.271003,26489.80588,3978.862806,240
"78(1,F10)",41,> 9500,516.3390626,23254.02602,4501.925428,269
"79(1,G10)",55,> 9500,10535.34203,32624.45659,5918.658571,212
"80(1,H10)",208,> 9500,752.471833,25944.44288,4293.723756,325
"81(1,A11)",93,> 9500,231.0347395,30741.67369,5283.952935,243
"82(1,B11)",216,> 9500,1474.912264,32781.83111,5468.463924,220
