Date Submitted,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps
1/10/2023,479,3.15871,1750,9.232,5.97724,6.49913,10.0381,0,4112
7/11/2017,412,2.39341,1667,11.6083,4.67453,5.16874,12.8355,0,4225
7/8/2017,283,1.67422,1037,10.3232,6.40747,5.81215,9.36407,0,2647
7/2/2017,436,2.51309,1718,11.3937,6.18091,5.26608,9.70732,0,4359
6/27/2017,395,2.51521,1851,12.2654,6.02087,4.89182,9.96534,0,4677
6/27/2017,159,1.01757,750,12.2842,4.80657,4.88433,12.4829,0,1895
4/20/2017,280,1.67928,979,9.71645,5.70681,6.1751,10.5138,150,2509
3/18/2017,291,1.69878,1112,10.9098,6.41125,5.49965,9.35856,154,2829
2/8/2017,295,1.70335,1168,11.4285,6,5.25004,10,146,2963
1/19/2017,274,1.70321,1225,11.9881,5.67624,5.00497,10.5704,135,3099
11/24/2016,2,0,10,0,0,0,0,85,0
11/24/2016,299,1.72339,1188,11.496,5.94637,5.21919,10.0902,142,3013
11/23/2016,289,1.70664,1085,10.6055,5.42414,5.65744,11.0617,0,2765
11/17/2016,139,0.84258,481,9.52207,6.20964,6.30115,9.6624,155,1234
11/16/2016,245,1.63408,1245,12.7025,5.30356,4.72347,11.3131,144,3140
11/14/2016,317,1.88316,1157,10.2403,3.50014,5.85922,17.1422,144,2955
11/4/2016,274,1.65436,943,9.50753,4.80573,6.31078,12.4851,154,2420
10/31/2016,290,1.74402,1010,9.6561,5.76123,6.21369,10.4145,155,2589
10/31/2016,166,0.980168,623,10.6045,5.67611,5.65797,10.5706,0,1588
10/26/2016,285,1.71652,977,9.4927,4.99508,6.32065,12.0118,150,2507
10/21/2016,290,1.75316,990,9.42037,5.74784,6.36918,10.4387,152,2542
10/19/2016,299,1.78474,1088,10.1644,5.665,5.90297,10.5913,151,2780
10/17/2016,308,1.85162,1085,9.76996,4.72694,6.14127,12.6932,147,2779
10/15/2016,281,1.67242,1033,10.302,5.09911,5.82409,11.7668,0,2637
10/12/2016,276,1.66799,929,9.2924,5.62267,6.45689,10.6711,151,2388
10/6/2016,279,1.6474,1050,10.6246,5.97417,5.64727,10.0432,152,2675
10/5/2016,270,1.63578,910,9.27351,4.45193,6.47005,13.4773,155,2339
10/4/2016,278,1.66223,997,10.002,5.60296,5.99883,10.7086,154,2550
8/31/2016,287,1.71087,1045,10.1875,5.38891,5.88955,11.134,156,2670
8/29/2016,298,1.77177,1085,10.2096,5.11557,5.87683,11.7289,155,2771