POST ID,PUBLISH,TIME,DURATION (SEC),IMPRESSIONS,REACH,SHARES,REPLIES,STICKER TAPS,NAVIGATION,PROFILE VISITS,FOLLOWS
18016182197155578,03/01/2024,10:03,0,146,144,0,1,,147,,
18006262613124200,03/01/2024,18:03,15,178,172,0,3,,213,,
17988184841625428,03/02/2024,7:03,0,234,232,0,2,,235,,
17992012157614949,03/02/2024,10:03,0,211,206,0,1,,257,4,
17910179852830837,03/02/2024,20:03,15,148,145,0,0,,174,1,
18004913606176175,03/03/2024,10:03,0,176,174,0,0,1,185,,
18025813627939260,03/03/2024,10:03,0,165,162,0,2,,178,,
18042648649655783,03/03/2024,12:03,0,174,170,0,2,,216,,
17978911178644103,03/04/2024,8:03,29,148,148,0,0,,172,1,
18023481908057498,03/05/2024,9:03,13,163,160,0,0,,163,,
18230385241268015,03/05/2024,9:03,15,141,140,0,0,,125,,
17850410889154641,03/05/2024,9:03,9,138,137,0,0,,126,1,
18032491591852598,03/05/2024,10:03,0,132,129,0,1,,149,,
18022042223046270,03/05/2024,19:03,26,126,125,1,0,,153,,
18257858521236272,03/06/2024,16:03,0,134,134,0,2,,137,1,
17880301998030880,03/06/2024,17:03,15,120,120,0,1,,132,2,
18014952317181150,03/07/2024,8:03,11,121,121,0,0,,114,,
18048643720612431,03/07/2024,9:03,0,114,114,0,0,,117,,
17993795969536070,03/07/2024,9:03,0,109,109,0,0,,126,,
17991745646557524,03/07/2024,15:03,0,104,103,0,0,,114,1,
17851331637153032,03/07/2024,20:03,0,107,106,0,2,,114,1,
17994849767336544,03/08/2024,9:03,15,109,108,0,0,,128,,
18094754095404820,03/08/2024,20:03,60,86,85,0,0,,92,,
17994161183531039,03/09/2024,8:03,15,73,72,0,0,,73,,
18020595212094887,03/09/2024,9:03,15,74,73,0,0,,70,,
18019580437918808,03/09/2024,12:03,0,106,105,0,1,,117,,
17862558057080876,03/09/2024,20:03,0,129,129,0,0,,142,1,
17869113399030351,03/10/2024,8:03,0,181,181,0,1,8,200,,
17848304004145452,03/10/2024,9:03,0,175,174,0,2,,217,1,
18057547123550744,03/10/2024,9:03,0,164,164,0,1,,199,,
18255584920235697,03/11/2024,11:03,0,365,347,0,7,,408,2,
18176962102289788,03/12/2024,8:03,0,301,301,0,13,,352,2,
18035723542795021,03/12/2024,9:03,8,276,276,0,3,,338,,
18001239296403841,03/12/2024,9:03,0,264,258,0,1,,347,3,
17880398175031807,03/12/2024,10:03,9,252,248,0,9,2,317,2,
18257922610212311,03/12/2024,10:03,6,250,246,0,8,5,274,1,
18035327371828305,03/12/2024,11:03,0,238,236,0,3,2,326,1,
18426229312020226,03/12/2024,11:03,0,235,234,0,3,5,302,1,
17983028765497389,03/12/2024,11:03,0,227,225,0,1,,273,2,
17907248663927828,03/12/2024,13:03,0,166,166,0,0,,181,1,
18112071847327817,03/14/2024,8:03,15,128,127,0,1,,138,,
18090667264412333,03/14/2024,9:03,22,115,114,2,0,,136,,
17883022523963615,03/14/2024,10:03,0,106,105,0,0,,124,,
18002755781208648,03/14/2024,13:03,15,110,108,0,3,,119,,
18006079649159885,03/14/2024,18:03,0,121,118,0,0,,135,,
18422623573008963,03/16/2024,13:03,10,109,107,0,1,,108,,
18344885332103359,03/16/2024,15:03,15,99,98,0,0,,106,1,
18096861430401894,03/18/2024,20:03,0,225,224,0,0,11,237,1,
17901618350956149,03/19/2024,8:03,10,96,95,0,0,,94,,
18323805019187387,03/19/2024,8:03,0,91,90,0,0,,104,,
17958871148725313,03/19/2024,18:03,15,105,104,0,0,,109,,
18003708644219534,03/20/2024,8:03,41,113,112,0,0,,124,2,
18018319502137225,03/20/2024,9:03,0,108,108,0,0,,118,1,
18179561161289182,03/20/2024,11:03,0,106,106,1,1,,112,,
17929608020752320,03/20/2024,15:03,8,131,128,0,3,,127,,
17997961721576219,03/20/2024,20:03,0,131,129,0,3,,159,,
18084774526429907,03/21/2024,12:03,11,134,133,0,0,,136,,
17947542971671227,03/22/2024,11:03,0,269,269,0,0,,302,,
18343779331101755,03/23/2024,9:03,0,136,133,0,1,,138,5,1
18263006695229882,03/23/2024,12:03,0,127,125,0,0,,125,2,
18021583064089799,03/23/2024,20:03,0,114,114,0,0,,115,,
17929715897837120,03/23/2024,20:03,0,110,108,0,1,,117,,
18018971444131443,03/23/2024,20:03,0,107,105,0,0,,111,1,
18031129564757024,03/24/2024,8:03,0,103,101,0,0,,104,,
17903144954953762,03/24/2024,10:03,0,95,94,0,0,,102,1,
18388790806077832,03/25/2024,8:03,0,225,222,0,0,,227,,
1.80041E+16,03/26/2024,8:03,15,137,135,0,0,,134,,
18028508524815836,03/26/2024,16:03,0,152,152,0,1,,160,,
18316494253131660,03/27/2024,12:03,0,127,125,0,1,,124,1,
18021740830919361,03/27/2024,13:03,0,120,119,0,0,,121,,
18119698570317397,03/27/2024,14:03,0,116,113,1,2,,129,,
18427630222043403,03/27/2024,18:03,15,146,140,0,3,,167,,
18050500837552677,03/28/2024,9:03,6,169,169,0,1,,176,,
17913003953823444,03/28/2024,10:03,15,166,166,0,1,,188,,
18004849613203053,03/28/2024,11:03,0,156,155,0,1,,160,,
18231190126264591,03/28/2024,16:03,0,197,197,0,0,2,207,1,
18038237953676332,03/29/2024,15:03,0,165,164,0,2,,151,,
18021281599931006,03/29/2024,15:03,0,139,138,0,0,,153,,
17894210141914551,03/29/2024,20:03,10,101,101,0,0,,99,1,
18047635822717668,03/30/2024,20:03,0,196,195,0,1,2,219,,
17990537456625401,03/30/2024,20:03,0,182,181,0,0,11,204,,
18026493328825645,03/01/2024,9:03,0,152,150,0,1,,155,,